2025-05-28 21:43:09,023 - INFO - Running em for file: adni
2025-05-28 21:43:09,030 - INFO - Number of biomarkers: 12
2025-05-28 21:50:40,057 - INFO - Iteration 1000/10000, Acceptance Ratio: 5.70%, Log Likelihood: -62078.0541, Current Accepted Order: dict_values([np.int64(9), np.int64(11), np.int64(10), np.int64(12), np.int64(3), np.int64(1), np.int64(2), np.int64(4), np.int64(8), np.int64(7), np.int64(5), np.int64(6)]), 
2025-05-28 21:57:53,313 - INFO - Iteration 2000/10000, Acceptance Ratio: 4.15%, Log Likelihood: -62073.6558, Current Accepted Order: dict_values([np.int64(8), np.int64(9), np.int64(10), np.int64(12), np.int64(4), np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(11), np.int64(5), np.int64(6)]), 
2025-05-28 22:05:19,075 - INFO - Iteration 3000/10000, Acceptance Ratio: 3.03%, Log Likelihood: -62071.0090, Current Accepted Order: dict_values([np.int64(8), np.int64(10), np.int64(9), np.int64(12), np.int64(2), np.int64(1), np.int64(3), np.int64(4), np.int64(7), np.int64(11), np.int64(6), np.int64(5)]), 
2025-05-28 22:12:42,577 - INFO - Iteration 4000/10000, Acceptance Ratio: 2.58%, Log Likelihood: -62070.6741, Current Accepted Order: dict_values([np.int64(9), np.int64(10), np.int64(8), np.int64(12), np.int64(2), np.int64(1), np.int64(3), np.int64(4), np.int64(7), np.int64(11), np.int64(5), np.int64(6)]), 
2025-05-28 22:20:07,564 - INFO - Iteration 5000/10000, Acceptance Ratio: 2.50%, Log Likelihood: -62072.9964, Current Accepted Order: dict_values([np.int64(8), np.int64(10), np.int64(9), np.int64(12), np.int64(3), np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(11), np.int64(5), np.int64(6)]), 
2025-05-28 22:27:26,210 - INFO - Iteration 6000/10000, Acceptance Ratio: 2.40%, Log Likelihood: -62070.1255, Current Accepted Order: dict_values([np.int64(8), np.int64(10), np.int64(9), np.int64(12), np.int64(3), np.int64(1), np.int64(4), np.int64(2), np.int64(7), np.int64(11), np.int64(5), np.int64(6)]), 
2025-05-28 22:34:48,303 - INFO - Iteration 7000/10000, Acceptance Ratio: 2.44%, Log Likelihood: -62071.2856, Current Accepted Order: dict_values([np.int64(9), np.int64(10), np.int64(8), np.int64(12), np.int64(3), np.int64(1), np.int64(4), np.int64(2), np.int64(7), np.int64(11), np.int64(5), np.int64(6)]), 
2025-05-28 22:42:03,152 - INFO - Iteration 8000/10000, Acceptance Ratio: 2.14%, Log Likelihood: -62071.2856, Current Accepted Order: dict_values([np.int64(9), np.int64(10), np.int64(8), np.int64(12), np.int64(3), np.int64(1), np.int64(4), np.int64(2), np.int64(7), np.int64(11), np.int64(5), np.int64(6)]), 
2025-05-28 22:49:37,307 - INFO - Iteration 9000/10000, Acceptance Ratio: 1.90%, Log Likelihood: -62071.2856, Current Accepted Order: dict_values([np.int64(9), np.int64(10), np.int64(8), np.int64(12), np.int64(3), np.int64(1), np.int64(4), np.int64(2), np.int64(7), np.int64(11), np.int64(5), np.int64(6)]), 
2025-05-28 22:57:08,511 - INFO - Iteration 10000/10000, Acceptance Ratio: 1.71%, Log Likelihood: -62071.2856, Current Accepted Order: dict_values([np.int64(9), np.int64(10), np.int64(8), np.int64(12), np.int64(3), np.int64(1), np.int64(4), np.int64(2), np.int64(7), np.int64(11), np.int64(5), np.int64(6)]), 
2025-05-28 22:57:11,148 - INFO - Results saved to adni_results/em/results/adni_results.json
