2025-05-28 22:57:11,152 - INFO - Running kde for file: adni
2025-05-28 22:57:11,157 - INFO - Number of biomarkers: 12
2025-05-28 23:36:38,152 - INFO - Iteration 1000/10000, Acceptance Ratio: 2.30%, Log Likelihood: -70838.7968, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(3), np.int64(1), np.int64(6), np.int64(12), np.int64(7), np.int64(10), np.int64(11), np.int64(2), np.int64(8), np.int64(9)]), 
2025-05-29 00:15:37,723 - INFO - Iteration 2000/10000, Acceptance Ratio: 1.15%, Log Likelihood: -70838.7968, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(3), np.int64(1), np.int64(6), np.int64(12), np.int64(7), np.int64(10), np.int64(11), np.int64(2), np.int64(8), np.int64(9)]), 
2025-05-29 00:54:46,113 - INFO - Iteration 3000/10000, Acceptance Ratio: 0.77%, Log Likelihood: -70838.7968, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(3), np.int64(1), np.int64(6), np.int64(12), np.int64(7), np.int64(10), np.int64(11), np.int64(2), np.int64(8), np.int64(9)]), 
2025-05-29 01:34:10,966 - INFO - Iteration 4000/10000, Acceptance Ratio: 0.57%, Log Likelihood: -70838.7968, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(3), np.int64(1), np.int64(6), np.int64(12), np.int64(7), np.int64(10), np.int64(11), np.int64(2), np.int64(8), np.int64(9)]), 
2025-05-29 02:13:03,313 - INFO - Iteration 5000/10000, Acceptance Ratio: 0.46%, Log Likelihood: -70838.7968, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(3), np.int64(1), np.int64(6), np.int64(12), np.int64(7), np.int64(10), np.int64(11), np.int64(2), np.int64(8), np.int64(9)]), 
2025-05-29 02:52:26,922 - INFO - Iteration 6000/10000, Acceptance Ratio: 0.38%, Log Likelihood: -70838.7968, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(3), np.int64(1), np.int64(6), np.int64(12), np.int64(7), np.int64(10), np.int64(11), np.int64(2), np.int64(8), np.int64(9)]), 
2025-05-29 03:31:51,216 - INFO - Iteration 7000/10000, Acceptance Ratio: 0.33%, Log Likelihood: -70838.7968, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(3), np.int64(1), np.int64(6), np.int64(12), np.int64(7), np.int64(10), np.int64(11), np.int64(2), np.int64(8), np.int64(9)]), 
2025-05-29 04:11:13,726 - INFO - Iteration 8000/10000, Acceptance Ratio: 0.29%, Log Likelihood: -70838.7968, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(3), np.int64(1), np.int64(6), np.int64(12), np.int64(7), np.int64(10), np.int64(11), np.int64(2), np.int64(8), np.int64(9)]), 
2025-05-29 04:50:52,243 - INFO - Iteration 9000/10000, Acceptance Ratio: 0.26%, Log Likelihood: -70838.7968, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(3), np.int64(1), np.int64(6), np.int64(12), np.int64(7), np.int64(10), np.int64(11), np.int64(2), np.int64(8), np.int64(9)]), 
2025-05-29 05:30:42,082 - INFO - Iteration 10000/10000, Acceptance Ratio: 0.26%, Log Likelihood: -70842.9312, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(3), np.int64(1), np.int64(6), np.int64(12), np.int64(7), np.int64(10), np.int64(11), np.int64(2), np.int64(9), np.int64(8)]), 
2025-05-29 05:31:03,637 - INFO - Results saved to adni_results/kde/results/adni_results.json
