2025-05-30 23:38:32,991 - INFO - Running mle for file: adni
2025-05-30 23:38:32,998 - INFO - Number of biomarkers: 12
2025-05-30 23:48:09,153 - INFO - Iteration 1000/10000, Acceptance Ratio: 6.50%, Log Likelihood: -54186.4521, Current Accepted Order: dict_values([np.int64(6), np.int64(5), np.int64(7), np.int64(1), np.int64(8), np.int64(12), np.int64(9), np.int64(11), np.int64(10), np.int64(4), np.int64(2), np.int64(3)]), 
2025-05-30 23:57:58,276 - INFO - Iteration 2000/10000, Acceptance Ratio: 3.25%, Log Likelihood: -54186.4521, Current Accepted Order: dict_values([np.int64(6), np.int64(5), np.int64(7), np.int64(1), np.int64(8), np.int64(12), np.int64(9), np.int64(11), np.int64(10), np.int64(4), np.int64(2), np.int64(3)]), 
2025-05-31 00:07:59,935 - INFO - Iteration 3000/10000, Acceptance Ratio: 2.17%, Log Likelihood: -54186.4521, Current Accepted Order: dict_values([np.int64(6), np.int64(5), np.int64(7), np.int64(1), np.int64(8), np.int64(12), np.int64(9), np.int64(11), np.int64(10), np.int64(4), np.int64(2), np.int64(3)]), 
2025-05-31 00:17:44,083 - INFO - Iteration 4000/10000, Acceptance Ratio: 2.05%, Log Likelihood: -54185.7736, Current Accepted Order: dict_values([np.int64(7), np.int64(5), np.int64(6), np.int64(12), np.int64(9), np.int64(1), np.int64(8), np.int64(10), np.int64(11), np.int64(4), np.int64(3), np.int64(2)]), 
2025-05-31 00:27:00,750 - INFO - Iteration 5000/10000, Acceptance Ratio: 2.34%, Log Likelihood: -54187.4638, Current Accepted Order: dict_values([np.int64(7), np.int64(5), np.int64(6), np.int64(12), np.int64(9), np.int64(1), np.int64(8), np.int64(11), np.int64(10), np.int64(4), np.int64(3), np.int64(2)]), 
2025-05-31 00:36:21,397 - INFO - Iteration 6000/10000, Acceptance Ratio: 2.00%, Log Likelihood: -54189.8872, Current Accepted Order: dict_values([np.int64(6), np.int64(5), np.int64(7), np.int64(12), np.int64(8), np.int64(1), np.int64(9), np.int64(10), np.int64(11), np.int64(4), np.int64(3), np.int64(2)]), 
2025-05-31 00:46:00,245 - INFO - Iteration 7000/10000, Acceptance Ratio: 2.19%, Log Likelihood: -54133.0783, Current Accepted Order: dict_values([np.int64(5), np.int64(6), np.int64(7), np.int64(1), np.int64(8), np.int64(11), np.int64(9), np.int64(12), np.int64(10), np.int64(4), np.int64(2), np.int64(3)]), 
2025-05-31 00:55:30,078 - INFO - Iteration 8000/10000, Acceptance Ratio: 2.46%, Log Likelihood: -54068.6275, Current Accepted Order: dict_values([np.int64(6), np.int64(7), np.int64(5), np.int64(1), np.int64(8), np.int64(12), np.int64(9), np.int64(11), np.int64(10), np.int64(4), np.int64(3), np.int64(2)]), 
2025-05-31 01:05:00,718 - INFO - Iteration 9000/10000, Acceptance Ratio: 2.54%, Log Likelihood: -54069.5858, Current Accepted Order: dict_values([np.int64(7), np.int64(5), np.int64(6), np.int64(1), np.int64(8), np.int64(12), np.int64(9), np.int64(10), np.int64(11), np.int64(4), np.int64(2), np.int64(3)]), 
2025-05-31 01:14:52,620 - INFO - Iteration 10000/10000, Acceptance Ratio: 2.31%, Log Likelihood: -54067.4822, Current Accepted Order: dict_values([np.int64(7), np.int64(5), np.int64(6), np.int64(1), np.int64(9), np.int64(12), np.int64(8), np.int64(10), np.int64(11), np.int64(4), np.int64(3), np.int64(2)]), 
2025-05-31 01:14:55,746 - INFO - Results saved to adni_results/mle/results/adni_results.json
