2025-05-30 22:01:30,256 - INFO - Running conjugate priors for file: adni
2025-05-30 22:01:30,262 - INFO - Number of biomarkers: 12
2025-05-30 22:11:08,787 - INFO - Iteration 1000/10000, Acceptance Ratio: 8.30%, Log Likelihood: -54137.3698, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(6), np.int64(1), np.int64(2), np.int64(10), np.int64(3), np.int64(12), np.int64(11), np.int64(7), np.int64(9), np.int64(8)]), 
2025-05-30 22:20:47,298 - INFO - Iteration 2000/10000, Acceptance Ratio: 5.75%, Log Likelihood: -54137.0029, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(6), np.int64(1), np.int64(3), np.int64(12), np.int64(2), np.int64(10), np.int64(11), np.int64(7), np.int64(9), np.int64(8)]), 
2025-05-30 22:30:24,504 - INFO - Iteration 3000/10000, Acceptance Ratio: 4.10%, Log Likelihood: -54142.4567, Current Accepted Order: dict_values([np.int64(5), np.int64(6), np.int64(4), np.int64(1), np.int64(3), np.int64(12), np.int64(2), np.int64(11), np.int64(10), np.int64(7), np.int64(9), np.int64(8)]), 
2025-05-30 22:40:14,272 - INFO - Iteration 4000/10000, Acceptance Ratio: 3.50%, Log Likelihood: -54139.7791, Current Accepted Order: dict_values([np.int64(6), np.int64(4), np.int64(5), np.int64(1), np.int64(2), np.int64(10), np.int64(3), np.int64(12), np.int64(11), np.int64(7), np.int64(9), np.int64(8)]), 
2025-05-30 22:50:00,905 - INFO - Iteration 5000/10000, Acceptance Ratio: 2.86%, Log Likelihood: -54139.9976, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(6), np.int64(1), np.int64(3), np.int64(12), np.int64(2), np.int64(10), np.int64(11), np.int64(7), np.int64(9), np.int64(8)]), 
2025-05-30 22:59:42,073 - INFO - Iteration 6000/10000, Acceptance Ratio: 2.75%, Log Likelihood: -54138.7819, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(6), np.int64(1), np.int64(2), np.int64(12), np.int64(3), np.int64(10), np.int64(11), np.int64(7), np.int64(8), np.int64(9)]), 
2025-05-30 23:09:11,340 - INFO - Iteration 7000/10000, Acceptance Ratio: 3.06%, Log Likelihood: -54140.0062, Current Accepted Order: dict_values([np.int64(4), np.int64(5), np.int64(6), np.int64(1), np.int64(3), np.int64(11), np.int64(2), np.int64(12), np.int64(10), np.int64(7), np.int64(9), np.int64(8)]), 
2025-05-30 23:18:45,564 - INFO - Iteration 8000/10000, Acceptance Ratio: 2.80%, Log Likelihood: -54139.1604, Current Accepted Order: dict_values([np.int64(6), np.int64(4), np.int64(5), np.int64(1), np.int64(3), np.int64(11), np.int64(2), np.int64(10), np.int64(12), np.int64(7), np.int64(8), np.int64(9)]), 
2025-05-30 23:28:43,790 - INFO - Iteration 9000/10000, Acceptance Ratio: 2.78%, Log Likelihood: -54138.5738, Current Accepted Order: dict_values([np.int64(5), np.int64(6), np.int64(4), np.int64(1), np.int64(3), np.int64(12), np.int64(2), np.int64(10), np.int64(11), np.int64(7), np.int64(9), np.int64(8)]), 
2025-05-30 23:38:29,864 - INFO - Iteration 10000/10000, Acceptance Ratio: 2.60%, Log Likelihood: -54137.4168, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(6), np.int64(1), np.int64(3), np.int64(11), np.int64(2), np.int64(12), np.int64(10), np.int64(7), np.int64(8), np.int64(9)]), 
2025-05-30 23:38:32,986 - INFO - Results saved to adni_results/conjugate_priors/results/adni_results.json
