2025-07-11 17:34:35,590 - INFO - Running mle for file: j200_r0.25_Esn_kjContinuousBeta_m0
2025-07-11 17:34:35,592 - INFO - Number of biomarkers: 10
2025-07-11 17:34:36,761 - INFO - Iteration 20/200, Acceptance Ratio: 55.00%, Log Likelihood: -4746.8052, Current Accepted Order: dict_values([np.int64(3), np.int64(7), np.int64(2), np.int64(1), np.int64(6), np.int64(5), np.int64(4), np.int64(9), np.int64(10), np.int64(8)]), 
2025-07-11 17:34:37,720 - INFO - Iteration 40/200, Acceptance Ratio: 32.50%, Log Likelihood: -4738.5462, Current Accepted Order: dict_values([np.int64(3), np.int64(1), np.int64(2), np.int64(7), np.int64(6), np.int64(5), np.int64(8), np.int64(9), np.int64(10), np.int64(4)]), 
2025-07-11 17:34:38,684 - INFO - Iteration 60/200, Acceptance Ratio: 33.33%, Log Likelihood: -4732.5998, Current Accepted Order: dict_values([np.int64(3), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(1)]), 
2025-07-11 17:34:39,648 - INFO - Iteration 80/200, Acceptance Ratio: 25.00%, Log Likelihood: -4732.5998, Current Accepted Order: dict_values([np.int64(3), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(1)]), 
2025-07-11 17:34:40,612 - INFO - Iteration 100/200, Acceptance Ratio: 24.00%, Log Likelihood: -4731.7587, Current Accepted Order: dict_values([np.int64(3), np.int64(2), np.int64(1), np.int64(5), np.int64(6), np.int64(7), np.int64(4), np.int64(9), np.int64(10), np.int64(8)]), 
2025-07-11 17:34:41,574 - INFO - Iteration 120/200, Acceptance Ratio: 20.83%, Log Likelihood: -4732.3379, Current Accepted Order: dict_values([np.int64(4), np.int64(2), np.int64(1), np.int64(5), np.int64(6), np.int64(7), np.int64(3), np.int64(9), np.int64(10), np.int64(8)]), 
2025-07-11 17:34:42,534 - INFO - Iteration 140/200, Acceptance Ratio: 17.86%, Log Likelihood: -4732.3379, Current Accepted Order: dict_values([np.int64(4), np.int64(2), np.int64(1), np.int64(5), np.int64(6), np.int64(7), np.int64(3), np.int64(9), np.int64(10), np.int64(8)]), 
2025-07-11 17:34:43,495 - INFO - Iteration 160/200, Acceptance Ratio: 15.62%, Log Likelihood: -4732.3379, Current Accepted Order: dict_values([np.int64(4), np.int64(2), np.int64(1), np.int64(5), np.int64(6), np.int64(7), np.int64(3), np.int64(9), np.int64(10), np.int64(8)]), 
2025-07-11 17:34:44,456 - INFO - Iteration 180/200, Acceptance Ratio: 13.89%, Log Likelihood: -4732.3379, Current Accepted Order: dict_values([np.int64(4), np.int64(2), np.int64(1), np.int64(5), np.int64(6), np.int64(7), np.int64(3), np.int64(9), np.int64(10), np.int64(8)]), 
2025-07-11 17:34:45,418 - INFO - Iteration 200/200, Acceptance Ratio: 12.50%, Log Likelihood: -4732.3379, Current Accepted Order: dict_values([np.int64(4), np.int64(2), np.int64(1), np.int64(5), np.int64(6), np.int64(7), np.int64(3), np.int64(9), np.int64(10), np.int64(8)]), 
2025-07-11 17:34:45,473 - INFO - Results saved to local_results/mle/results/j200_r0.25_Esn_kjContinuousBeta_m0_results.json
