2025-05-29 05:31:03,643 - INFO - Running hard kmeans for file: adni
2025-05-29 05:31:03,649 - INFO - Number of biomarkers: 12
2025-05-29 05:34:58,639 - INFO - Iteration 1000/10000, Acceptance Ratio: 4.90%, Log Likelihood: -64132.5047, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(3), np.int64(1), np.int64(6), np.int64(12), np.int64(9), np.int64(11), np.int64(10), np.int64(2), np.int64(8), np.int64(7)]), 
2025-05-29 05:38:56,853 - INFO - Iteration 2000/10000, Acceptance Ratio: 2.70%, Log Likelihood: -64130.1808, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(3), np.int64(1), np.int64(6), np.int64(12), np.int64(9), np.int64(11), np.int64(10), np.int64(2), np.int64(7), np.int64(8)]), 
2025-05-29 05:42:52,904 - INFO - Iteration 3000/10000, Acceptance Ratio: 2.10%, Log Likelihood: -64071.5268, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(3), np.int64(1), np.int64(9), np.int64(12), np.int64(8), np.int64(11), np.int64(10), np.int64(2), np.int64(6), np.int64(7)]), 
2025-05-29 05:46:48,287 - INFO - Iteration 4000/10000, Acceptance Ratio: 1.57%, Log Likelihood: -64071.5268, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(3), np.int64(1), np.int64(9), np.int64(12), np.int64(8), np.int64(11), np.int64(10), np.int64(2), np.int64(6), np.int64(7)]), 
2025-05-29 05:50:45,281 - INFO - Iteration 5000/10000, Acceptance Ratio: 1.32%, Log Likelihood: -64069.3393, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(3), np.int64(1), np.int64(9), np.int64(12), np.int64(8), np.int64(10), np.int64(11), np.int64(2), np.int64(6), np.int64(7)]), 
2025-05-29 05:54:43,754 - INFO - Iteration 6000/10000, Acceptance Ratio: 1.13%, Log Likelihood: -64068.9125, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(3), np.int64(1), np.int64(9), np.int64(12), np.int64(8), np.int64(10), np.int64(11), np.int64(2), np.int64(6), np.int64(7)]), 
2025-05-29 05:58:44,993 - INFO - Iteration 7000/10000, Acceptance Ratio: 0.97%, Log Likelihood: -64068.9125, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(3), np.int64(1), np.int64(9), np.int64(12), np.int64(8), np.int64(10), np.int64(11), np.int64(2), np.int64(6), np.int64(7)]), 
2025-05-29 06:02:48,129 - INFO - Iteration 8000/10000, Acceptance Ratio: 0.85%, Log Likelihood: -64068.9125, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(3), np.int64(1), np.int64(9), np.int64(12), np.int64(8), np.int64(10), np.int64(11), np.int64(2), np.int64(6), np.int64(7)]), 
2025-05-29 06:06:57,132 - INFO - Iteration 9000/10000, Acceptance Ratio: 0.76%, Log Likelihood: -64068.9125, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(3), np.int64(1), np.int64(9), np.int64(12), np.int64(8), np.int64(10), np.int64(11), np.int64(2), np.int64(6), np.int64(7)]), 
2025-05-29 06:10:58,043 - INFO - Iteration 10000/10000, Acceptance Ratio: 0.77%, Log Likelihood: -64070.9285, Current Accepted Order: dict_values([np.int64(5), np.int64(4), np.int64(3), np.int64(1), np.int64(9), np.int64(12), np.int64(8), np.int64(10), np.int64(11), np.int64(2), np.int64(7), np.int64(6)]), 
2025-05-29 06:11:00,740 - INFO - Results saved to adni_results/hard_kmeans/results/adni_results.json
