2025-07-11 17:34:25,260 - INFO - Running conjugate priors for file: j200_r0.25_Esn_kjContinuousBeta_m0
2025-07-11 17:34:25,263 - INFO - Number of biomarkers: 10
2025-07-11 17:34:26,762 - INFO - Iteration 20/200, Acceptance Ratio: 55.00%, Log Likelihood: -4747.0722, Current Accepted Order: dict_values([np.int64(3), np.int64(7), np.int64(2), np.int64(1), np.int64(6), np.int64(5), np.int64(4), np.int64(9), np.int64(10), np.int64(8)]), 
2025-07-11 17:34:27,724 - INFO - Iteration 40/200, Acceptance Ratio: 42.50%, Log Likelihood: -4739.4685, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(1), np.int64(4), np.int64(8), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(3)]), 
2025-07-11 17:34:28,797 - INFO - Iteration 60/200, Acceptance Ratio: 33.33%, Log Likelihood: -4740.1892, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(1), np.int64(7), np.int64(8), np.int64(4), np.int64(5), np.int64(3), np.int64(10), np.int64(9)]), 
2025-07-11 17:34:29,760 - INFO - Iteration 80/200, Acceptance Ratio: 28.75%, Log Likelihood: -4737.5747, Current Accepted Order: dict_values([np.int64(1), np.int64(6), np.int64(2), np.int64(7), np.int64(8), np.int64(4), np.int64(3), np.int64(9), np.int64(10), np.int64(5)]), 
2025-07-11 17:34:30,723 - INFO - Iteration 100/200, Acceptance Ratio: 26.00%, Log Likelihood: -4736.7379, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(1), np.int64(4), np.int64(8), np.int64(7), np.int64(5), np.int64(9), np.int64(10), np.int64(3)]), 
2025-07-11 17:34:31,684 - INFO - Iteration 120/200, Acceptance Ratio: 21.67%, Log Likelihood: -4736.7379, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(1), np.int64(4), np.int64(8), np.int64(7), np.int64(5), np.int64(9), np.int64(10), np.int64(3)]), 
2025-07-11 17:34:32,647 - INFO - Iteration 140/200, Acceptance Ratio: 18.57%, Log Likelihood: -4736.7379, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(1), np.int64(4), np.int64(8), np.int64(7), np.int64(5), np.int64(9), np.int64(10), np.int64(3)]), 
2025-07-11 17:34:33,609 - INFO - Iteration 160/200, Acceptance Ratio: 16.25%, Log Likelihood: -4736.7379, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(1), np.int64(4), np.int64(8), np.int64(7), np.int64(5), np.int64(9), np.int64(10), np.int64(3)]), 
2025-07-11 17:34:34,571 - INFO - Iteration 180/200, Acceptance Ratio: 14.44%, Log Likelihood: -4736.7379, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(1), np.int64(4), np.int64(8), np.int64(7), np.int64(5), np.int64(9), np.int64(10), np.int64(3)]), 
2025-07-11 17:34:35,533 - INFO - Iteration 200/200, Acceptance Ratio: 13.00%, Log Likelihood: -4736.7379, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(1), np.int64(4), np.int64(8), np.int64(7), np.int64(5), np.int64(9), np.int64(10), np.int64(3)]), 
2025-07-11 17:34:35,589 - INFO - Results saved to local_results/conjugate_priors/results/j200_r0.25_Esn_kjContinuousBeta_m0_results.json
